index,title,combine,overview,cast
1812,Rain Man,Dramaindividual mentally disabled autism loss of father yuppieA journey through understanding and fellowship.Dustin Hoffman Tom Cruise Valeria Golino Gerald R. Molen Jack MurdockBarry Levinson,Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.,Dustin Hoffman Tom Cruise Valeria Golino Gerald R. Molen Jack Murdock
1813,Gran Torino,Dramarape war veteran immigration priest gangEver come across somebody you shouldn't have messed with?Clint Eastwood Christopher Carley Bee Vang Ahney Her Brian HaleyClint Eastwood,"Walt Kowalski is a widower who holds onto his prejudices despite the changes in his Michigan neighborhood and the world around him. Kowalski is a grumpy, tough-minded, unhappy old man who can't get along with either his kids or his neighbors. He is a Korean War veteran whose prize possession is a 1972 Gran Torino he keeps in mint condition. When his neighbor Thao, a young Hmong teenager under pressure from his gang member cousin, tries to steal his Gran Torino, Kowalski sets out to reform the youth. Drawn against his will into the life of Thao's family, Kowalski is soon taking steps to protect them from the gangs that infest their neighborhood.",Clint Eastwood Christopher Carley Bee Vang Ahney Her Brian Haley
1814,W.,Drama Historyusa white house usa president george w. bush presidentA life misunderestimated.Josh Brolin Elizabeth Banks Ellen Burstyn Ioan Gruffudd Thandie NewtonOliver Stone,"Whether you love him or hate him, there is no question that George W. Bush is one of the most controversial public figures in recent memory. W takes viewers through Bush’s eventful life -- his struggles and triumphs, how he found both his wife and his faith, and of course the critical days leading up to Bush’s decision to invade Iraq.",Josh Brolin Elizabeth Banks Ellen Burstyn Ioan Gruffudd Thandie Newton
1815,Taken,Action Thrillerparis kidnapping human trafficking rescue prostitutionThey took his daughter.  He'll take their lives.Liam Neeson Famke Janssen Maggie Grace Katie Cassidy Holly ValancePierre Morel,"While vacationing with a friend in Paris, an American girl is kidnapped by a gang of human traffickers intent on selling her into forced prostitution. Working against the clock, her ex-spy father must pull out all the stops to save her. But with his best years possibly behind him, the job may be more than he can handle.",Liam Neeson Famke Janssen Maggie Grace Katie Cassidy Holly Valance
1816,The Best of Me,Drama Romancehigh school sweetheartYou never forget your first love.Michelle Monaghan James Marsden Liana Liberato Luke Bracey Gerald McRaneyMichael Hoffman,A pair of former high school sweethearts reunite after many years when they return to visit their small hometown.,Michelle Monaghan James Marsden Liana Liberato Luke Bracey Gerald McRaney
1817,The Bodyguard,Thriller Action Drama Music Romancesister sister relationship anonymous letter diva bodyguard oscar awardNever let her out of your sight. Never let your guard down. Never fall in love.Whitney Houston Kevin Costner Michele Lamar Richards Ralph Waite Gary KempMick Jackson,"A former Secret Service agent grudgingly takes an assignment to protect a pop idol who's threatened by a crazed fan. At first, the safety-obsessed bodyguard and the self-indulgent diva totally clash. But before long, all that tension sparks fireworks of another sort, and the love-averse tough guy is torn between duty and romance.",Whitney Houston Kevin Costner Michele Lamar Richards Ralph Waite Gary Kemp
1818,Schindler's List,"Drama History Warfactory concentration camp hero holocaust world war iiWhoever saves one life, saves the world entire.Liam Neeson Ben Kingsley Ralph Fiennes Caroline Goodall Jonathan SagallSteven Spielberg",The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,Liam Neeson Ben Kingsley Ralph Fiennes Caroline Goodall Jonathan Sagall
1819,The Help,Dramamississippi based on novel exploitation racial segregation racismChange begins with a whisper.Emma Stone Viola Davis Octavia Spencer Bryce Dallas Howard Jessica ChastainTate Taylor,"Aibileen Clark is a middle-aged African-American maid who has spent her life raising white children and has recently lost her only son; Minny Jackson is an African-American maid who has often offended her employers despite her family's struggles with money and her desperate need for jobs; and Eugenia ""Skeeter"" Phelan is a young white woman who has recently moved back home after graduating college to find out her childhood maid has mysteriously disappeared. These three stories intertwine to explain how life in Jackson, Mississippi revolves around ""the help""; yet they are always kept at a certain distance because of racial lines.",Emma Stone Viola Davis Octavia Spencer Bryce Dallas Howard Jessica Chastain
1820,The Fifth Estate,Drama Thrillerjournalist biography internet information leak activistYou can't expose the world's secrets without exposing yourselfBenedict Cumberbatch Daniel Br\u00fchl Anthony Mackie David Thewlis Alicia VikanderBill Condon,"A look at the relationship between WikiLeaks founder Julian Assange and his early supporter and eventual colleague Daniel Domscheit-Berg, and how the website's growth and influence led to an irreparable rift between the two friends.",Benedict Cumberbatch Daniel Br\u00fchl Anthony Mackie David Thewlis Alicia Vikander
1821,Scooby-Doo 2: Monsters Unleashed,Mystery Fantasy Adventure Comedydetective monster engine based on tv series dogThey came. They saw. They ran.Freddie Prinze Jr. Sarah Michelle Gellar Matthew Lillard Linda Cardellini Seth GreenRaja Gosnell,"When Mystery, Inc. are guests of honor at the grand opening of the Coolsville Museum of Criminology, a masked villain shows up and creates havoc before stealing the costumes of the gang's most notorious villains...Could it be that their nemesis, mad scientist Jonathan Jacobo has returned and is trying to recreate their deadliest foes?",Freddie Prinze Jr. Sarah Michelle Gellar Matthew Lillard Linda Cardellini Seth Green
1822,Forbidden Kingdom,Thriller Adventure Mystery Fantasymonster mystic church demon witchcraftThe truth is in youJason Flemyng Aleksey Chadov Agniya Ditkovskite Yuriy Tsurilo Olga ZaytsevaOleg Stepchenko,"Early 18th century. Cartographer Jonathan Green undertakes a scientific voyage from Europe to the East. Having passed through Transylvania and crossed the Carpathian Mountains, he finds himself in a small village lost in impassible woods. Nothing but chance and heavy fog could bring him to this cursed place. People who live here do not resemble any other people which the traveler saw before that. The villagers, having dug a deep moat to fend themselves from the rest of the world, share a naive belief that they could save themselves from evil, failing to understand that evil has made its nest in their souls and is waiting for an opportunity to gush out upon the world.",Jason Flemyng Aleksey Chadov Agniya Ditkovskite Yuriy Tsurilo Olga Zaytseva
1823,Freddy vs. Jason,Horrormurder marijuana teenager bad dreamEvil Will Battle EvilRobert Englund Ken Kirzinger Jason Ritter Monica Keena Lochlyn MunroRonny Yu,"Evil dream-demon Freddy Krueger devises a plan to manipulate the unstoppable Jason Vorhees into hacking up the teenagers of Elm Street in an effort to make people remember the name Freddy Krueger, thus freeing him from limbo.",Robert Englund Ken Kirzinger Jason Ritter Monica Keena Lochlyn Munro
1824,The Face of an Angel,"Thriller Dramamurder investigationForget the truth, find the story.Kate Beckinsale Cara Delevingne Daniel Br\u00fchl Ava Acres Corrado InvernizziMichael Winterbottom",Both a journalist and a documentary filmmaker chase the story of a murder and its prime suspect.,Kate Beckinsale Cara Delevingne Daniel Br\u00fchl Ava Acres Corrado Invernizzi
1825,Jimmy Neutron: Boy Genius,"Action Adventure Animation Comedy Familyshowdown gi villain genius alienHe may be small, but he's got a big brain!Debi Derryberry Megan Cavanagh Mark DeCarlo Jeffrey Garcia Patrick StewartJohn A. Davis","Jimmy Neutron is a boy genius and way ahead of his friends, but when it comes to being cool, he's a little behind. All until one day when his parents, and parents all over Earth are kidnapped by aliens, it's up to him to lead all the children of the world to rescue their parents.",Debi Derryberry Megan Cavanagh Mark DeCarlo Jeffrey Garcia Patrick Stewart
1826,Cloverfield,Action Thriller Science Fictionhelicopter monster skyscraper fight camcorderSome Thing Has Found UsLizzy Caplan Jessica Lucas Odette Annable Michael Stahl-David Mike VogelMatt Reeves,"Five young New Yorkers throw their friend a going-away party the night that a monster the size of a skyscraper descends upon the city. Told from the point of view of their video camera, the film is a document of their attempt to survive the most surreal, horrifying event of their lives.",Lizzy Caplan Jessica Lucas Odette Annable Michael Stahl-David Mike Vogel
1827,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,"Science Fiction Adventure Action Comedy Familycrime fighter fight mutant turtle ninjaCowabunga, it's the new turtle movie.Paige Turco David Warner Michelan Sisti Leif Tilden Kenn ScottMichael Pressman","The Turtles and the Shredder battle once again, this time for the last cannister of the ooze that created the Turtles, which Shredder wants to create an army of new mutants.",Paige Turco David Warner Michelan Sisti Leif Tilden Kenn Scott
1828,The Untouchables,Crime Drama History Thrillerwhite suit al capone tough cop treasury agent untouchableWhat are you prepared to do?Kevin Costner Sean Connery Charles Martin Smith Andy Garc\u00eda Robert De NiroBrian De Palma,"Young Treasury Agent Elliot Ness arrives in Chicago and is determined to take down Al Capone, but it's not going to be easy because Capone has the police in his pocket. Ness meets Jimmy Malone, a veteran patrolman and probably the most honorable one on the force. He asks Malone to help him get Capone, but Malone warns him that if he goes after Capone, he is going to war.",Kevin Costner Sean Connery Charles Martin Smith Andy Garc\u00eda Robert De Niro
1829,No Country for Old Men,Crime Drama Thrillertexas drug traffic hitman united states\u2013mexico barrier suspenseThere are no clean getaways.Tommy Lee Jones Javier Bardem Josh Brolin Woody Harrelson Kelly MacdonaldJoel Coen,"Llewelyn Moss stumbles upon dead bodies, $2 million and a hoard of heroin in a Texas desert, but methodical killer Anton Chigurh comes looking for it, with local sheriff Ed Tom Bell hot on his trail. The roles of prey and predator blur as the violent pursuit of money and justice collide.",Tommy Lee Jones Javier Bardem Josh Brolin Woody Harrelson Kelly Macdonald
1830,Ride Along,Action Comedypolice operation police officer brother-in-law brother-in-law relationship duringcreditsstinger black menPropose to this cop's sister? Rookie mistake.Ice Cube Kevin Hart John Leguizamo Bruce McGill Tika SumpterTim Story,"For the past two years, high-school security guard Ben has been trying to show decorated APD detective James that he's more than just a video-game junkie who's unworthy of James' sister, Angela. When Ben finally gets accepted into the academy, he thinks he's earned the seasoned policeman's respect and asks for his blessing to marry Angela. Knowing that a ride along will demonstrate if Ben has what it takes to take care of his sister, James invites him on a shift designed to scare the hell out of the trainee. But when the wild night leads them to the most notorious criminal in the city, James will find that his new partner's rapid-fire mouth is just as dangerous as the bullets speeding at it.",Ice Cube Kevin Hart John Leguizamo Bruce McGill Tika Sumpter
1831,Bridget Jones's Diary,Comedy Romance Dramaholiday london england england alcohol sexHealth Warning: Adopting Bridget's lifestyle could seriously damage your health.Ren\u00e9e Zellweger Colin Firth Hugh Grant Gemma Jones Jim BroadbentSharon Maguire,"A chaotic Bridget Jones meets a snobbish lawyer, and he soon enters her world of imperfections.",Ren\u00e9e Zellweger Colin Firth Hugh Grant Gemma Jones Jim Broadbent
1832,Chocolat,Comedy Drama Romancechocolate mayor praline single mother daughter relationship...and the world is still indulging!Juliette Binoche Alfred Molina Johnny Depp Judi Dench Leslie CaronLasse Hallstr\u00f6m,"A fable of emotional liberation and chocolate. A mother and daughter move to a small French town where they open a chocolate shop. The town, religious and morally strict, is against them as they represent free-thinking and indulgence. When a group of Boat Gypsies float down the river the prejudices of the Mayor leads to a crisis.",Juliette Binoche Alfred Molina Johnny Depp Judi Dench Leslie Caron
1833,"Legally Blonde 2: Red, White & Blonde",Comedywashington d.c. boston chambers of a barrister tierversuch lawyerBigger. Bolder. Blonder.Reese Witherspoon Sally Field Regina King Jennifer Coolidge James NewmanCharles Herman-Wurmfeld,"After Elle Woods, the eternally perky, fashionably adventurous, famously blonde Harvard Law grad gets fired by her law firm because of her opposition to animal testing, she takes her fight to Washington. As an aide for Congresswoman Victoria Rudd, she pushes for a bill to ban testing once and for all, but it's her building's doorman who advises her on how to get her way on the Hill.",Reese Witherspoon Sally Field Regina King Jennifer Coolidge James Newman
1834,Parental Guidance,ComedyHere come the grandparents.  There go the rules.Billy Crystal Bette Midler Marisa Tomei Tom Everett Scott Bailee MadisonAndy Fickman,Artie and Diane agree to look after their three grandkids when their type-A helicopter parents need to leave town for work. Problems arise when the kids' 21st-century behavior collides with Artie and Diane's old-school methods.,Billy Crystal Bette Midler Marisa Tomei Tom Everett Scott Bailee Madison
1835,No Strings Attached,Comedy Romancefather son relationship casual meeting student of medicine friends valentineFriendship has its benefits.Natalie Portman Ashton Kutcher Kevin Kline Cary Elwes Greta GerwigIvan Reitman,"Emma is a busy doctor who sets up a seemingly perfect arrangement when she offers her best friend Adam a relationship with one rule: No strings attached. But when a fling becomes a thing, can sex friends stay best friends?",Natalie Portman Ashton Kutcher Kevin Kline Cary Elwes Greta Gerwig
1836,Tombstone,Action Adventure Drama History Westernretirement wyatt earp right and justice historical figureJustice is coming.Kurt Russell Val Kilmer Sam Elliott Bill Paxton Powers BootheGeorge P. Cosmatos,"Legendary marshal Wyatt Earp, now a weary gunfighter, joins his brothers Morgan and Virgil to pursue their collective fortune in the thriving mining town of Tombstone. But Earp is forced to don a badge again and get help from his notorious pal Doc Holliday when a gang of renegade brigands and rustlers begins terrorizing the town.",Kurt Russell Val Kilmer Sam Elliott Bill Paxton Powers Boothe
1837,Romeo Must Die,"Action Crime Thrillermartial arts hip-hop oakland asian asian manIn the city ruled by criminals, two families have forgotten their fear. He will make them remember.Jet Li Aaliyah Isaiah Washington Russell Wong DMXAndrzej Bartkowiak","Two warring gang families (one African-American, the other Chinese) maneuver for bragging rights to the Oakland, California, docks. Hang SIng and Trish O'Day uncover a trail of deceit that leaves most of the warring factions dead … or worse!",Jet Li Aaliyah Isaiah Washington Russell Wong DMX
1838,The Omen,Horror Thrillermonk prophecy ambassador nanny rottweilerIt is the greatest mystery of all because no human being will ever solve it.Gregory Peck Lee Remick David Warner Billie Whitelaw Harvey StephensRichard Donner,"Immediately after their miscarriage, the US diplomat Robert Thorn adopts the newborn Damien without the knowledge of his wife. Yet what he doesn’t know is that their new son is the son of the devil. A classic horror film with Gregory Peck from 1976.",Gregory Peck Lee Remick David Warner Billie Whitelaw Harvey Stephens
1839,Final Destination 3,Horror Mysterybeheading dying and death stroke of fateThis Ride Will Be The Death Of You.Mary Elizabeth Winstead Ryan Merriman Kris Lemche Alexz Johnson Sam EastonJames Wong,"A student's premonition of a deadly rollercoaster ride saves her life and a lucky few, but not from death itself – which seeks out those who escaped their fate.",Mary Elizabeth Winstead Ryan Merriman Kris Lemche Alexz Johnson Sam Easton
1840,The Lucky One,Drama Romancebased on novel wife husband relationship photo kennel playing chessZac Efron Blythe Danner Taylor Schilling Jay R. Ferguson Riley Thomas StewartScott Hicks,"U.S. Marine Sergeant Logan Thibault returns from his third tour of duty in Iraq, with the one thing he credits with keeping him alive-a photograph he found of a woman he doesn't even know. Learning her name is Beth and where she lives, he shows up at her door, and ends up taking a job at her family-run local kennel. Despite her initial mistrust and the complications in her life, a romance develops between them, giving Logan hope that Beth could be much more than his good luck charm.",Zac Efron Blythe Danner Taylor Schilling Jay R. Ferguson Riley Thomas Stewart
1841,Bridge to Terabithia,"Adventure Drama Familybrother sister relationship friendship bullying neighbor schoolClose your eyes, but keep your mind wide open.Josh Hutcherson AnnaSophia Robb Robert Patrick Zooey Deschanel Bailee MadisonG\u00e1bor Csup\u00f3","Jesse Aarons trained all summer to become the fastest runner in school, so he's very upset when newcomer Leslie Burke outruns him and everyone else. Despite this and other differences, including that she's rich, he's poor, and she's a city girl, he's a country boy, the two become fast friends. Together, they create Terabithia, a land of monsters, trolls, ogres, and giants and rule as king and queen.",Josh Hutcherson AnnaSophia Robb Robert Patrick Zooey Deschanel Bailee Madison
1842,Finding Neverland,Dramalondon england scotland parents kids relationship becoming an adult fantasyWhere will your imagination take you?Johnny Depp Kate Winslet Julie Christie Dustin Hoffman Freddie HighmoreMarc Forster,Finding Neverland is an amusing drama about how the story of Peter Pan and Neverland came to be. During a writing slump play writer J.M. Barrie meets the widowed Sylvia and her three children who soon become an important part of Barrie’s life and the inspiration that lead him to create his masterpiece “Peter Pan.”,Johnny Depp Kate Winslet Julie Christie Dustin Hoffman Freddie Highmore
1843,A Madea Christmas,Comedy DramachristmasThis Little Fool Thinks She's Getting A Damn PonyTyler Perry Anna Maria Horsford Tika Sumpter Eric Lively Chad Michael MurrayTyler Perry,Madea dispenses her unique form of holiday spirit on rural town when she's coaxed into helping a friend pay her daughter a surprise visit in the country for Christmas.,Tyler Perry Anna Maria Horsford Tika Sumpter Eric Lively Chad Michael Murray
1844,The Grey,Action Drama Thrilleralcohol isolation wolf wilderness forestLive or Die on This DayLiam Neeson Dermot Mulroney Frank Grillo Dallas Roberts Joe AndersonJoe Carnahan,An oil drilling team struggles to survive after a plane crash strands them in the wilds of Alaska. Hunting them is a pack of wolves that sees them as intruders.,Liam Neeson Dermot Mulroney Frank Grillo Dallas Roberts Joe Anderson
1845,Hide and Seek,"Horror Mystery Thrillerhouse imaginary friend suspense loss of wifeCome out, come out, whatever you are.Robert De Niro Dakota Fanning Famke Janssen Elisabeth Shue Amy IrvingJohn Polson","David Callaway tries to piece together his life in the wake of his wife's suicide and has been left to raise his nine-year-old daughter, Emily on his own. David is at first amused to discover that Emily has created an imaginary friend named 'Charlie', but it isn't long before 'Charlie' develops a sinister and violent side, and as David struggles with his daughter's growing emotional problems, he comes to the frightening realisation that 'Charlie' isn't just a figment of Emily's imagination.",Robert De Niro Dakota Fanning Famke Janssen Elisabeth Shue Amy Irving
1846,Anchorman: The Legend of Ron Burgundy,Comedyjournalism sexism ladder panda tv show in filmThey bring you the news so you don't have to get it yourself.Will Ferrell Christina Applegate Paul Rudd David Koechner Steve CarellAdam McKay,"It's the 1970s, and San Diego super-sexist anchorman Ron Burgundy is the top dog in local TV, but that's all about to change when ambitious reporter Veronica Corningstone arrives as a new employee at his station.",Will Ferrell Christina Applegate Paul Rudd David Koechner Steve Carell
1847,GoodFellas,Drama Crimeprison based on novel florida 1970s mass murderThree Decades of Life in the Mafia.Robert De Niro Ray Liotta Joe Pesci Lorraine Bracco Paul SorvinoMartin Scorsese,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",Robert De Niro Ray Liotta Joe Pesci Lorraine Bracco Paul Sorvino
1848,Agent Cody Banks,Actionspy cia killer robot delinquent teen spySave the world. Get the girl. Pass math.Frankie Muniz Hilary Duff Angie Harmon Keith David Cynthia StevensonHarald Zwart,"Recruited by the U.S. government to be a special agent, nerdy teenager Cody Banks must get closer to cute classmate Natalie in order to learn about an evil plan hatched by her father. But despite the agent persona, Cody struggles with teen angst.",Frankie Muniz Hilary Duff Angie Harmon Keith David Cynthia Stevenson
1849,Nanny McPhee,Fantasy Comedy Familyloss of mother nanny education wizardry childrenYou'll Learn To Love Her. Warts And All.Emma Thompson Colin Firth Kelly Macdonald Thomas Brodie-Sangster Eliza BennettKirk Jones,"Widower Cedric Brown (Colin Firth) hires Nanny McPhee (Emma Thompson) to care for his seven rambunctious children, who have chased away all previous nannies. Taunted by Simon (Thomas Sangster) and his siblings, Nanny McPhee uses mystical powers to instill discipline. And when the children's great-aunt and benefactor, Lady Adelaide Stitch (Angela Lansbury), threatens to separate the kids, the family pulls together under the guidance of Nanny McPhee.",Emma Thompson Colin Firth Kelly Macdonald Thomas Brodie-Sangster Eliza Bennett
1850,Scarface,Action Crime Drama Thrillermiami corruption capitalism cuba prohibitionThe world is yours...Al Pacino Steven Bauer Michelle Pfeiffer Mary Elizabeth Mastrantonio Robert LoggiaBrian De Palma,"After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.",Al Pacino Steven Bauer Michelle Pfeiffer Mary Elizabeth Mastrantonio Robert Loggia
1851,Nothing to Lose,"Action Adventure Comedyrap music infidelity security camera loss crookWhen the odds are against you, sometimes the only bet is yourself.Tim Robbins Martin Lawrence John C. McGinley Kelly Preston Irma P. HallSteve Oedekerk","Advertising executive Nick Beame learns that his wife is sleeping with his employer. In a state of despair, he encounters a bumbling thief whose attempted carjacking goes awry when Nick takes him on an involuntary joyride. Soon the betrayed businessman and the incompetent crook strike up a partnership and develop a robbery-revenge scheme. But it turns out that some other criminals in the area don't appreciate the competition.",Tim Robbins Martin Lawrence John C. McGinley Kelly Preston Irma P. Hall
1852,The Last Emperor,"Drama Historybuddhism japan suicide china suicide attemptHe was the Lord of Ten Thousand Years, the absolute monarch of China. He was born to rule a world of ancient tradition. Nothing prepared him for our world of change.John Lone Peter O'Toole Joan Chen Dennis Dun Ryuichi SakamotoBernardo Bertolucci","A dramatic history of Pu Yi, the last of the Emperors of China, from his lofty birth and brief reign in the Forbidden City, the object of worship by half a billion people; through his abdication, his decline and dissolute lifestyle; his exploitation by the invading Japanese, and finally to his obscure existence as just another peasant worker in the People's Republic.",John Lone Peter O'Toole Joan Chen Dennis Dun Ryuichi Sakamoto
1853,Contraband,Thriller Action Drama Crimehead wound criminal security guard contrabandWhat would you hide to protect your family?Mark Wahlberg Kate Beckinsale Ben Foster Giovanni Ribisi J.K. SimmonsBaltasar Korm\u00e1kur,"When his brother-in-law runs afoul of a drug lord, family man Chris Farraday turns to a skill he abandoned long ago – smuggling – to repay the debt. But the job goes wrong, and Farraday finds himself wanted by cops, crooks and killers alike.",Mark Wahlberg Kate Beckinsale Ben Foster Giovanni Ribisi J.K. Simmons
1854,Money Talks,Action Adventure Comedyprison diamant liberation of prisoners transport of prisoners interviewThis ain't no buddy movie.Chris Tucker Charlie Sheen Heather Locklear Paul Sorvino Elise NealBrett Ratner,"Money Talks is a 1997 American comedy film directed by Brett Ratner. Sought by police and criminals, a small-time huckster makes a deal with a TV newsman for protection.",Chris Tucker Charlie Sheen Heather Locklear Paul Sorvino Elise Neal
1855,There Will Be Blood,Dramabrother brother relationship deaf-mute american dream fanatic pipelineThere Will Be Greed. There Will Be Vengeance.Daniel Day-Lewis Paul Dano Dillon Freasier Ciar\u00e1n Hinds Kevin J. O'ConnorPaul Thomas Anderson,"When ruthless oil prospector, Daniel Plainview learns of oil-rich land in California that can be bought cheaply, he moves his operation there and begins manipulating and exploiting the local landowners into selling him their property. Using his young adopted son to project the image of a caring family man, Plainview gains the cooperation of almost all the locals with lofty promises to build schools and cultivate the land to make their community flourish. Over time, Plainview's gradual accumulation of wealth and power causes his true self to surface, and he begins to slowly alienate himself from everyone in his life.",Daniel Day-Lewis Paul Dano Dillon Freasier Ciar\u00e1n Hinds Kevin J. O'Connor
1856,The Wild Thornberrys Movie,Animation Adventure Familysister sister relationship safari wildlife baboon chimpanzeeYou don't need extraordinary powers to do extraordinary things.Lacey Chabert Tom Kane Cree Summer Tim Curry Lynn RedgraveCathy Malkasian,"Eliza and Debbie are two sisters who don't always get along. But their relationship is put to the test when Debbie's life is in danger, and Eliza might have to give up her power to talk to animals....",Lacey Chabert Tom Kane Cree Summer Tim Curry Lynn Redgrave
1857,Rugrats Go Wild,Animation Familykids and familyThe Family Vacation Goes OverboardE.G. Daily Nancy Cartwright Kath Soucie Dionne Quan Tim CurryNorton Virgien,"Rugrats Go Wild is a 2003 crossover animated film, with two animated Nickelodeon television series Rugrats and The Wild Thornberrys.The film was produced by Klasky Csupo and released in theaters on June 13, 2003 by Paramount Pictures and Nickelodeon Movies. It also makes this the Rugrats series finale, after the show ceased production. As there are currently no further Rugrats movies in production, Rugrats Go Wild stands as the final Rugrats film. It is the only Nickelodeon film to be a crossover. Although it is a crossover film, it is primarily a Rugrats movie as the main plot focuses on the those characters.The Rugrats family vacation takes an exotic detour when their boat capsizes and they become shipwrecked on a deserted tropical island. With the jungle as their new backyard, the babies reace wildly from one dangerous adventure to the next…soon to discover that someone else is on the island. It's The Wild Thornberrys...on an island adventure of their own!",E.G. Daily Nancy Cartwright Kath Soucie Dionne Quan Tim Curry
1858,Undercover Brother,Action Comedyusa president double life policy and organisations undercover intelligenceHe's All ActionEddie Griffin Chris Kattan Denise Richards Aunjanue Ellis Chi McBrideMalcolm D. Lee,"An Afro-American organization, the B.R.O.T.H.E.R.H.O.O.D., is in permanent fight against a white organization ""The Man"" defending the values of the black people in North America. When the Afro-American candidate Gen. Warren Boutwell behaves strangely in his presidential campaign, Undercover Brother is hired to work undercover for ""The Man"" and find what happened with the potential candidate.",Eddie Griffin Chris Kattan Denise Richards Aunjanue Ellis Chi McBride
1859,The Sisterhood of the Traveling Pants,Drama Comedyholiday female friendship jeans coming of age teenage girlLaugh. Cry. Share the pants.Amber Tamblyn Alexis Bledel America Ferrera Blake Lively Jenna BoydKen Kwapis,"Four best friends (Tibby, Lena, Carmen &amp; Bridget) who buy a mysterious pair of pants that fits each of them, despite their differing sizes, and makes whoever wears them feel fabulous. When faced with the prospect of spending their first summer apart, the pals decide they'll swap the pants so that each girl in turn can enjoy the magic.",Amber Tamblyn Alexis Bledel America Ferrera Blake Lively Jenna Boyd
1860,Kiss of the Dragon,Action Crime Thrillerparis prostitute drugKiss Fear GoodbyeJet Li Bridget Fonda Tch\u00e9ky Karyo Max Ryan Ric YoungChris Nahon,"Liu Jian, an elite Chinese police officer, comes to Paris to arrest a Chinese drug lord. When Jian is betrayed by a French officer and framed for murder, he must go into hiding and find new allies.",Jet Li Bridget Fonda Tch\u00e9ky Karyo Max Ryan Ric Young
1861,The House Bunny,"Romance Comedyvirgin nudity college costume yogaFor the girls of ZETA house college life was no party, until Shelley showed up.Anna Faris Emma Stone Kat Dennings Katharine McPhee Rumer WillisFred Wolf","Shelley is living a carefree life until a rival gets her tossed out of the Playboy Mansion. With nowhere to go, fate delivers her to the sorority girls from Zeta Alpha Zeta. Unless they can sign a new pledge class, the seven socially clueless women will lose their house to the scheming girls of Phi Iota Mu. In order to accomplish their goal, they need Shelley to teach them the ways of makeup and men; at the same time, Shelley needs some of what the Zetas have - a sense of individuality. The combination leads all the girls to learn how to stop pretending and start being themselves.",Anna Faris Emma Stone Kat Dennings Katharine McPhee Rumer Willis
1862,Beauty Shop,Comedy RomanceA Cut AboveQueen Latifah Alicia Silverstone Andie MacDowell Alfre Woodard Mena SuvariBille Woodruff,"You thought you'd heard it all in the barbershop, but you haven't heard anything yet - the women get their own chance to shampoo, shine, and speak their minds in Beauty Shop.",Queen Latifah Alicia Silverstone Andie MacDowell Alfre Woodard Mena Suvari
1863,Million Dollar Arm,"Dramabaseball sport duringcreditsstingerSometimes to win, sometimes you have to change the gameJon Hamm Bill Paxton Lake Bell Suraj Sharma Aasif MandviCraig Gillespie","In a last-ditch effort to save his career, sports agent JB Bernstein (Jon Hamm) dreams up a wild game plan to find Major League Baseball’s next great pitcher from a pool of cricket players in India. He soon discovers two young men who can throw a fastball but know nothing about the game of baseball. Or America. It’s an incredible and touching journey that will change them all — especially JB, who learns valuable lessons about teamwork, commitment and family.",Jon Hamm Bill Paxton Lake Bell Suraj Sharma Aasif Mandvi
1864,The Giver,Drama Science Fictiondystopia black and white based on young adult novelSearch for truth. Find freedom.Jeff Bridges Meryl Streep Brenton Thwaites Odeya Rush Alexander Skarsg\u00e5rdPhillip Noyce,"In a seemingly perfect community, without war, pain, suffering, differences or choice, a young boy is chosen to learn from an elderly man about the true pain and pleasure of the ""real"" world.",Jeff Bridges Meryl Streep Brenton Thwaites Odeya Rush Alexander Skarsg\u00e5rd
1865,What a Girl Wants,Comedylondon england england daughter politician teenage girlTrying to fit in. Born to stand out.Amanda Bynes Colin Firth Kelly Preston Jonathan Pryce Oliver JamesDennie Gordon,"An American girl, Daphne, heads to Europe in search of the father she's never met. But instead of finding a British version of her bohemian mother, she learns the love of her mom's life is an uptight politician. The only problem now is that her long-lost dad is engaged to a fiercely territorial social climber with a daughter who makes Daphne's life miserable.",Amanda Bynes Colin Firth Kelly Preston Jonathan Pryce Oliver James
1866,Jeepers Creepers 2,Horror Thrillerfather son relationship scarecrow peasant farm immortalityHe can taste your fear.Ray Wise Jonathan Breck Garikayi Mutambirwa Eric Nenninger Josh HammondVictor Salva,"After 23 horrifying days of gorging on human flesh, an ancient creature known as the Creeper embarks on a final voracious feeding frenzy, terrorizing a group of varsity basketball players, cheerleaders and coaches stranded on a remote highway when their bus breaks down. The terrified group is forced to come together and do battle against the winged creature hell-bent on completing its grizzly ritual.",Ray Wise Jonathan Breck Garikayi Mutambirwa Eric Nenninger Josh Hammond
